name,email,password,divisi,role
Tiara Januar,pudjiastutieva@gmail.com,z_7uQ$JmF4,Cyber Security,USER
Dimas Marbun,violetnababan@gmail.com,8UvCWF8t!0,Web Development,USER
Dinda Sinaga,twahyudin@gmail.com,Kv%2MFr26T,Web Development,ADMIN
Ir. Ian Budiman,uiswahyudi@gmail.com,!HoFiO2C@7,Cyber Security,ADMIN
"Harsaya Sihotang, M.M.",tasnimpradana@gmail.com,8ZMV6iVg&o,Web Development,USER
Drs. Ella Rajasa,ikhsan29@gmail.com,myfs9A8!6+,ITNSA,USER
"Wani Mustofa, S.Sos",dacin11@gmail.com,5PXH(xso)X,Web Development,ADMIN
Utama Rajata,nurainitaufan@gmail.com,!)zr5CnsaR,ITNSA,USER
Jinawi Damanik,ssafitri@gmail.com,*f*MwonQP9,Web Development,ADMIN
Harja Rahimah,mujursuartini@gmail.com,A_Bm7L(tcz,Web Development,USER
Puspa Suartini,kala16@gmail.com,((J9Z$#zFc,Cyber Security,USER
Mila Pratiwi,xsetiawan@gmail.com,G(1_BoVO^R,Web Development,USER
Cut Tiara Hastuti,imaryadi@gmail.com,6e84BEpM(k,ITNSA,USER
Cahyadi Tarihoran,indralaksmiwati@gmail.com,*zSDuB7_9x,Web Development,USER
"Hj. Olivia Januar, M.Kom.",nadiakurniawan@gmail.com,&MfVZJRuf8,Cyber Security,USER
"Gaduh Saputra, S.Pt",jwacana@gmail.com,$jHC0l3)C5,ITNSA,ADMIN
Nilam Prastuti,eharyanto@gmail.com,G$&c7Vyul8,Cyber Security,ADMIN
Sabri Najmudin,ynasyiah@gmail.com,3b$2XoPdgL,Web Development,ADMIN
Muni Puspita,gilang94@gmail.com,+0U_IBdm9D,Cyber Security,USER
Jelita Wibowo,saka94@gmail.com,&2t@m8auA7,Cyber Security,USER
Oliva Jailani,radensaptono@gmail.com,N*5wYfXgpq,ITNSA,ADMIN
Raina Laksmiwati,laksana74@gmail.com,6___4&0dvC,Web Development,ADMIN
Carla Riyanti,tri01@gmail.com,)*8Bm7lc@6,ITNSA,USER
"Eka Wahyudin, S.Pt",okusmawati@gmail.com,tmy&4CurdC,ITNSA,USER
Rizki Lailasari,tugimannajmudin@gmail.com,%4CcrXhtXL,Cyber Security,USER
"Ir. Carla Saptono, S.H.",andrianikezia@gmail.com,*AF+4EnUqB,ITNSA,ADMIN
Dr. Mariadi Latupono,fandriani@gmail.com,@!rvXD(qj0,Web Development,USER
Lasmono Gunarto,ulva06@gmail.com,)$l4ZwY4IV,ITNSA,USER
Zamira Suryatmi,larashidayanto@gmail.com,8%74jLcXYX,Cyber Security,ADMIN
Anita Samosir,sinagajefri@gmail.com,s8RE@puK##,ITNSA,ADMIN
"Dian Pranowo, S.Kom",karen11@gmail.com,z4_cZVu*_1,Web Development,USER
dr. Oliva Haryanto,gaduhpermadi@gmail.com,(JW)KRsj05,ITNSA,ADMIN
Shakila Kurniawan,ogunawan@gmail.com,#RhJPoM@6A,ITNSA,ADMIN
"Puti Zahra Siregar, M.Farm",pratamavanesa@gmail.com,9RSUUI%k+X,ITNSA,ADMIN
"KH. Lulut Maheswara, M.Kom.",catur42@gmail.com,$00KsP8oyL,Web Development,USER
Kardi Maryadi,rkuswoyo@gmail.com,$!GBH2TtG9,Web Development,USER
Kayun Sihotang,purwadi33@gmail.com,s6ikNuIQ*I,Cyber Security,USER
"Drs. Karen Novitasari, S.Ked",bajragin27@gmail.com,&jY2A@oJA!,Web Development,ADMIN
Paiman Susanti,darukuswandari@gmail.com,88HQ3AbS#M,Web Development,USER
Devi Simanjuntak,elliskusmawati@gmail.com,G+5Ake0rHD,ITNSA,ADMIN
"Yunita Rahimah, M.Pd",sihombingtimbul@gmail.com,$&LVN%mI2g,Cyber Security,ADMIN
Hartaka Winarsih,fathonahprasetyo@gmail.com,3)1PZqw5Hy,Web Development,ADMIN
Garda Nuraini,safitrigawati@gmail.com,ER)7l$Ve_),ITNSA,USER
"Puti Zamira Lestari, S.T.",iswahyudileo@gmail.com,qsno2EFlR_,ITNSA,USER
Bagiya Budiyanto,artantopertiwi@gmail.com,!9aJIRoO9u,Web Development,ADMIN
Gina Irawan,nnuraini@gmail.com,HT)7I%b$_(,Web Development,ADMIN
Paris Padmasari,phasanah@gmail.com,!)4aMRQrlN,ITNSA,USER
Jarwa Nababan,ykusmawati@gmail.com,l*z99T2k3O,ITNSA,ADMIN
Dr. Eka Tarihoran,jasmintarihoran@gmail.com,P(2RJ7Txjc,ITNSA,ADMIN
Tirtayasa Pudjiastuti,queen09@gmail.com,u1lMJIOt%d,ITNSA,USER
Drajat Palastri,zizinovitasari@gmail.com,Ty26Au&H&v,Cyber Security,USER
Tgk. Kamidin Puspasari,suwarnolaksana@gmail.com,&Ui4QjqFVP,Cyber Security,USER
Elvin Mandala,tomiwijayanti@gmail.com,2#D%RBMo*H,Web Development,ADMIN
Wulan Mangunsong,cahyonoprasetya@gmail.com,$zZ)+^mN9O,ITNSA,USER
Jefri Firmansyah,bakijan76@gmail.com,sU0G7Rfw%h,Cyber Security,ADMIN
Kamal Firmansyah,ridwanmayasari@gmail.com,erMtkh+P^8,Cyber Security,USER
Dr. Cayadi Ramadan,yardianto@gmail.com,cPvO4NfW^8,Cyber Security,ADMIN
"R.A. Salsabila Wibowo, S.E.",waluyoprayogo@gmail.com,2MU^Iqte$W,Cyber Security,ADMIN
Eka Sitorus,warsitajanuar@gmail.com,SFfIghZq_3,Cyber Security,USER
Ulva Pradana,wijayantiharsaya@gmail.com,gP4rPLrB0),Cyber Security,ADMIN
Bella Halimah,elvinhabibi@gmail.com,oW&7XDAc&U,ITNSA,ADMIN
Ilyas Prakasa,banara55@gmail.com,I#5vK36ggJ,Web Development,USER
"Rama Yolanda, S.Ked",canggraini@gmail.com,)7z7Og(k6k,ITNSA,USER
"Hj. Anastasia Thamrin, S.IP",miswahyudi@gmail.com,)b5gIPMs%z,Web Development,ADMIN
Candra Narpati,jaswadi88@gmail.com,SJ7dHeKh%i,Cyber Security,USER
Cut Mutia Saragih,kusmawatimargana@gmail.com,!2vIyBa^c&,Cyber Security,USER
Anastasia Nasyiah,intanpadmasari@gmail.com,74Bd*%K$@x,ITNSA,ADMIN
dr. Paris Damanik,znainggolan@gmail.com,%^oiNFRb%5,Cyber Security,USER
Salimah Zulaika,jprasasta@gmail.com,8L6Wov9x!w,ITNSA,ADMIN
Kawaya Hassanah,yuliantigading@gmail.com,E57_45UbfT,Web Development,ADMIN
"drg. Warta Wahyudin, M.Ak",maryadiluhung@gmail.com,@QFWSI9e5O,Web Development,USER
Kala Suartini,swibowo@gmail.com,^Wsp0&Vt52,ITNSA,ADMIN
"Ami Wacana, M.Farm",imustofa@gmail.com,i$7vSey+Im,Web Development,USER
Galar Haryanto,hartatiiriana@gmail.com,)yZ#xSOio6,Cyber Security,ADMIN
"dr. Jaswadi Maulana, M.Kom.",simbolonasmuni@gmail.com,Fs2DOTbX!U,Cyber Security,ADMIN
Tina Prasetya,khariyah@gmail.com,+fTe)%RYL4,Cyber Security,USER
Digdaya Megantara,uminuraini@gmail.com,ClB1OyqG+1,ITNSA,USER
"Sutan Ian Wahyuni, M.Pd",ramadancahyanto@gmail.com,IHM81QfuV&,Web Development,USER
Baktianto Samosir,lwibowo@gmail.com,#7FpxXq__z,Web Development,USER
Adika Hastuti,nasyidahgaliono@gmail.com,+l62NNy6MS,ITNSA,ADMIN
Elisa Nuraini,vsaputra@gmail.com,bM6bCBak#j,Web Development,USER
Wadi Purnawati,yessiusamah@gmail.com,%#HZS%Ab+4,Web Development,USER
Oskar Laksmiwati,lalitawasita@gmail.com,#y2XZgko)a,Web Development,USER
Umay Wahyuni,hilda10@gmail.com,R8!4R%a6cy,ITNSA,ADMIN
"Tedi Pradipta, S.Sos",wira12@gmail.com,%0C2IVn6&b,Web Development,ADMIN
Ophelia Rajasa,maulanaprabu@gmail.com,*9kzJqLM%q,Cyber Security,USER
dr. Hafshah Suryono,putraharsanto@gmail.com,&)75GImnG^,Cyber Security,ADMIN
"Ir. Alika Marbun, S.E.I",purwantileo@gmail.com,Y3H1Gxqi@f,Web Development,ADMIN
"R.A. Kani Prasasta, S.Pt",perkasa59@gmail.com,q7UlZ#ur$6,ITNSA,ADMIN
"Maida Waskita, S.I.Kom",asman50@gmail.com,@y7V9w&*bJ,Cyber Security,ADMIN
Kayla Lestari,pmaulana@gmail.com,dFXMJNAu%5,Cyber Security,ADMIN
Irma Mayasari,jthamrin@gmail.com,&%Czc)qaf8,Web Development,ADMIN
Dr. Wirda Mansur,purwantowulandari@gmail.com,%&5&eGLgl@,Web Development,ADMIN
"T. Estiono Sinaga, M.M.",wawan11@gmail.com,4g_8HlW(_O,Cyber Security,ADMIN
Uli Waluyo,sudiatihamima@gmail.com,P2TCs!cJ#I,Web Development,USER
"drg. Saiful Handayani, S.Pd",tampubolontomi@gmail.com,!JdkG0OfGV,Cyber Security,USER
Dewi Nuraini,samosircinthia@gmail.com,_qBs&uxn^8,Web Development,USER
Mumpuni Mandala,rika54@gmail.com,Y_a2w*eL5Y,ITNSA,ADMIN
Gabriella Siregar,mulyasiregar@gmail.com,(9K1R7iIWa,ITNSA,ADMIN
Elvina Firmansyah,anggrainibakda@gmail.com,Q1qipX@z%V,Cyber Security,USER
Virman Prayoga,nugrohoaisyah@gmail.com,8dm8UWqFA(,Web Development,ADMIN
T. Muni Putra,aandriani@gmail.com,w0ZbYuLZ@t,Web Development,USER
"Siska Megantara, S.IP",rafi18@gmail.com,!XqqsAgf8d,Cyber Security,ADMIN
"Tgk. Harjaya Rahayu, S.E.I",kawacauwais@gmail.com,Z1E5$(av+N,ITNSA,USER
Dt. Bagus Handayani,nababanpuji@gmail.com,7VIlCiGh%a,Web Development,USER
Diana Nasyiah,asuryatmi@gmail.com,NW_5ulKb^4,ITNSA,ADMIN
Tri Puspasari,tiara51@gmail.com,)1dyaQ(t+m,ITNSA,USER
"Drs. Ifa Saptono, M.M.",twahyuni@gmail.com,@L4Sqy9q&),Cyber Security,USER
"Ir. Irnanto Siregar, S.Psi",damar38@gmail.com,^YSJFf7)+3,Cyber Security,USER
Putri Maulana,marsuditarihoran@gmail.com,Ud%6Cy*E+*,Web Development,USER
Drs. Warta Yulianti,ikin87@gmail.com,Vu+Tw2CeKP,Web Development,USER
drg. Karna Novitasari,saptonocawisono@gmail.com,s6OYyGO3!o,Web Development,USER
"Raden Tamba, S.Pt",gamblang61@gmail.com,93Wmrs(W&m,Web Development,ADMIN
"R. Elisa Riyanti, M.Pd",thamrinbanara@gmail.com,S@8wBe9z0i,Web Development,ADMIN
"Sutan Jumari Prayoga, S.Pd",waluyopuspita@gmail.com,i%1HJeocfa,Web Development,ADMIN
Lalita Astuti,maulanakusuma@gmail.com,u+F9yEzhRD,Web Development,ADMIN
Restu Kusmawati,rajatajuli@gmail.com,k+%8YUnk$l,ITNSA,ADMIN
Mulyanto Siregar,prabowofarida@gmail.com,J*80FRsiHo,Web Development,ADMIN
Lamar Wibisono,bakda12@gmail.com,$5YTp$pgrI,ITNSA,ADMIN
"Shakila Mandasari, S.E.I",mansurrafi@gmail.com,eM%4HiXoh*,ITNSA,USER
Kayla Mayasari,elvinsuartini@gmail.com,A($F9YGyaS,ITNSA,USER
"Laras Wahyuni, S.H.",haryantoikin@gmail.com,nI*8Q$Yau$,Cyber Security,USER
Dr. Hamima Kusmawati,jailaninabila@gmail.com,#W4+5N+88c,ITNSA,ADMIN
"Salwa Halimah, M.Kom.",gildasitorus@gmail.com,^0ANswqJ#E,ITNSA,ADMIN
Adinata Putra,rhariyah@gmail.com,^SRr*mjl37,Web Development,USER
Warji Pratiwi,editarihoran@gmail.com,&aCHoX3hd9,Cyber Security,USER
"drg. Mila Megantara, M.Pd",mwaluyo@gmail.com,#5D+wgHv#0,Web Development,USER
R.A. Silvia Gunarto,elvinmahendra@gmail.com,&0OgaI6juo,Cyber Security,USER
"Unggul Kuswandari, M.Kom.",tprayoga@gmail.com,XJnC3aTz_#,Cyber Security,ADMIN
Jaya Halimah,thutagalung@gmail.com,@eGeaB8qI3,Cyber Security,ADMIN
Prayitna Novitasari,hakimluthfi@gmail.com,8w3@Py)e+K,Web Development,ADMIN
Tiara Iswahyudi,carla94@gmail.com,*1LF&nym&P,ITNSA,USER
Aisyah Laksita,gsimbolon@gmail.com,$F2pnWGj+a,Cyber Security,USER
"Puti Eka Jailani, M.Kom.",sihombingoskar@gmail.com,VwV3(C&X!8,Web Development,ADMIN
Sutan Gara Waluyo,pertiwianastasia@gmail.com,4#QCo76X^3,Web Development,ADMIN
"Ir. Banawa Tampubolon, M.TI.",jamal78@gmail.com,gG0UsQNr3#,ITNSA,ADMIN
"Tgk. Safina Budiman, S.E.I",irnanto93@gmail.com,cfDA!fbe^6,Cyber Security,USER
H. Arsipatra Irawan,uyainahlintang@gmail.com,a&9c!Kv)6V,ITNSA,USER
Jati Hasanah,panduwijaya@gmail.com,q7A5gY4q$9,Cyber Security,ADMIN
dr. Luwar Hidayat,gsihotang@gmail.com,2@7VJv#&&^,Cyber Security,ADMIN
Yance Astuti,unjanisafitri@gmail.com,)s$N2TWiEh,ITNSA,USER
Usyi Wahyudin,restuhardiansyah@gmail.com,&v09UponUV,Web Development,ADMIN
"Tgk. Nasim Rahimah, S.Pt",kwibowo@gmail.com,gQ1KguRb+8,ITNSA,ADMIN
Danuja Ramadan,kuntharauwais@gmail.com,0Gra&7Db8l,ITNSA,USER
Syahrini Sihotang,spurwanti@gmail.com,#H&c1ROlrG,ITNSA,ADMIN
R.M. Harto Oktaviani,wahyudinkamila@gmail.com,+UH_hWIqF9,Web Development,USER
Salimah Farida,tkurniawan@gmail.com,1dK(4SFjm0,ITNSA,ADMIN
"Tgk. Bakidin Hakim, S.Pt",fitriani32@gmail.com,RFzY2*lr^#,ITNSA,USER
Ade Padmasari,bagya41@gmail.com,CKO*6Tu(Pw,ITNSA,USER
Sadina Wijayanti,saefullahtania@gmail.com,A)6H(_jbC*,Web Development,ADMIN
"H. Latif Putra, M.Farm",faridagalar@gmail.com,%lUBBIqK8F,Cyber Security,ADMIN
Cinthia Hidayat,chelsea16@gmail.com,)LZ9QC+m!d,Web Development,ADMIN
"drg. Lulut Saptono, S.Kom",novimanullang@gmail.com,B$9H3zgzC+,ITNSA,USER
"R.A. Endah Kurniawan, S.Kom",fsaptono@gmail.com,Cm+4AX9lnC,Web Development,ADMIN
"Cinta Wibisono, S.E.",gprastuti@gmail.com,+1@KtHoB*#,Web Development,USER
Talia Sihombing,zhutagalung@gmail.com,QM(4GelyP@,Cyber Security,ADMIN
"Jaka Halimah, S.E.",ifirmansyah@gmail.com,+!c2PBMv6u,ITNSA,USER
Raden Handayani,wardianto@gmail.com,R*RtNuJm@0,Web Development,USER
Okta Nurdiyanti,safina80@gmail.com,&W+hURRn8Q,Cyber Security,USER
Sakura Zulaika,kamalpratama@gmail.com,D0cQt4uC+m,Cyber Security,ADMIN
Cici Widodo,ilestari@gmail.com,(3J2AqsIiW,ITNSA,ADMIN
Dr. Karna Palastri,yonoirawan@gmail.com,!1aLLhUz_m,Web Development,USER
Farah Mangunsong,dalionosimbolon@gmail.com,EhL^!zif$5,Web Development,ADMIN
Michelle Maulana,balidingunarto@gmail.com,JK7*UZsm8),ITNSA,ADMIN
"Ir. Sabar Usada, S.IP",wahyudinismail@gmail.com,X+2Ag#$ja@,Cyber Security,USER
Hartaka Firgantoro,salahudinerik@gmail.com,(3lHJbFlzN,Cyber Security,ADMIN
"Widya Dabukke, S.Kom",nmansur@gmail.com,2!7TJPj1&1,ITNSA,USER
Yosef Narpati,latuponoirnanto@gmail.com,bbX#P)fB)3,Web Development,ADMIN
Jatmiko Latupono,lmegantara@gmail.com,$(Ma6ySx_y,Cyber Security,USER
"Drs. Dewi Mahendra, M.Kom.",sihombingbancar@gmail.com,c3Qc21*w!V,Cyber Security,USER
Dipa Wijayanti,pangestumulyono@gmail.com,jg^6Ru$z3_,Cyber Security,ADMIN
Estiawan Ardianto,ichaharyanti@gmail.com,@sWiDYY9b8,ITNSA,USER
Xanana Marbun,belindamangunsong@gmail.com,*kMkwQXl5),Web Development,USER
Tgk. Bambang Marpaung,paimanfirgantoro@gmail.com,!6sbMMmlvQ,ITNSA,ADMIN
Taufik Laksmiwati,susantirini@gmail.com,7!6AEBJX!b,ITNSA,ADMIN
KH. Jagaraga Puspita,jwinarno@gmail.com,_D2MBpEF#S,Cyber Security,ADMIN
Nova Rajata,kmaryati@gmail.com,##3zYMUmgX,Web Development,ADMIN
Kayla Nurdiyanti,tanialaksmiwati@gmail.com,p(Lk5YUs$!,ITNSA,USER
Kacung Rahimah,chelsea83@gmail.com,_n+eGyIL7M,Web Development,ADMIN
Betania Anggraini,ajimatrajata@gmail.com,O*6Bl!sf)F,Web Development,USER
Shania Usamah,amangunsong@gmail.com,JYl#4R5kFN,Cyber Security,ADMIN
Naradi Uwais,citratamba@gmail.com,)7ESNfLUzo,ITNSA,USER
"Drs. Winda Prasetyo, S.Sos",ppadmasari@gmail.com,i(6O24ViS$,Web Development,USER
Daliman Palastri,nurainileo@gmail.com,$1DhCeHz5Y,ITNSA,USER
Wulan Nashiruddin,mustika48@gmail.com,C0JPdK5*^3,ITNSA,ADMIN
"Cut Zamira Utama, S.E.",praba39@gmail.com,YkQ5BdrnY%,ITNSA,USER
"R.M. Jarwi Andriani, S.Gz",nuraininyoman@gmail.com,#qFKra&mn7,Web Development,USER
Jaeman Rajata,bnovitasari@gmail.com,M)b7UHqv&%,Cyber Security,ADMIN
"Balamantri Saptono, S.T.",mardhiyahpangeran@gmail.com,q!4Ybt1aT$,Web Development,ADMIN
Gilda Aryani,yance76@gmail.com,x3kQ*(Qf*z,ITNSA,ADMIN
Opan Melani,gandasimanjuntak@gmail.com,!obyQvSf%9,Web Development,USER
Diana Widiastuti,oktavianipurwanto@gmail.com,@0U#cY%jXc,Web Development,USER
